NumberOfRounds,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,label,Gender_MALE,BlueStance_Orthodox,BlueStance_Southpaw,BlueStance_Switch,BlueStance_OpenStance,RedStance_Orthodox,RedStance_Southpaw,RedStance_Switch,RedStance_OpenStance,BetterRank_Red,BetterRank_Blue,BetterRank_neither,FinishRate,WinRatio,ExpPerYear,ReachAdvantageRatio,HeightReachRatio,WinsByDecision,DecisionRate
3,-1,1,1,7,3,32,-1,2,-2,12.7,22.86,-1,0,1,1,0,0,0,1,0,0,0,1,0,0,-0.18846153846153846,-0.007936507936507908,0.9500000000000002,0.8875000000000001,-0.0484154929577465,7,0.18846153846153846
3,0,1,-1,6,2,5,3,3,2,-10.16,-12.7,-8,1,0,1,0,0,0,1,0,0,0,1,0,0,0.1964285714285714,0.05128205128205121,0.4193548387096775,1.0806451612903227,0.0137217140105923,1,-0.19642857142857145
3,-1,1,0,-2,-1,-8,0,2,-5,7.62,15.24,-5,1,1,1,0,0,0,1,0,0,0,1,0,0,-0.16666666666666663,-0.015384615384615441,-0.1428571428571429,0.9268292682926829,-0.035622593068035946,1,0.16666666666666666
3,-1,0,-7,-26,-12,-81,-4,-20,-1,5.08,-2.54,-15,1,1,0,1,0,0,1,0,0,0,0,0,1,0.18518518518518523,-0.17500000000000004,-1.9333958724202627,1.0133333333333332,0.03947368421052633,-5,-0.18518518518518517
3,0,-1,-1,-3,-2,-11,0,-2,0,-12.7,-7.62,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0.25,0.33333333333333337,-0.3666666666666667,1.0416666666666667,-0.02777777777777768,-1,-0.25
3,0,-1,-3,-6,-4,-24,0,-1,-2,2.54,2.54,-1,0,1,0,1,0,0,1,0,0,0,0,0,1,-0.5,-0.6,-0.8888888888888888,0.9859154929577465,0.00020120724346084362,-3,-0.5
3,0,0,0,1,1,6,0,0,-1,0.0,10.16,10,0,1,1,0,0,0,1,0,0,0,0,0,1,-1.0,-0.33333333333333337,0.16,0.9473684210526316,-0.05336257309941517,2,1.0
3,-3,4,1,-1,-5,-17,0,-1,3,0.0,7.62,-10,1,1,1,0,0,0,1,0,0,0,1,0,0,0.6,0.5,-0.37529504327301344,0.9620253164556962,-0.037475016655562965,-3,-0.6
3,0,1,3,6,4,28,0,1,0,-2.54,-17.78,3,1,1,1,0,0,0,1,0,0,0,0,0,1,0.16666666666666666,0.6,0.8484848484848485,1.109375,0.08758802816901401,5,0.8333333333333334
3,0,0,1,2,2,3,0,1,2,5.08,5.08,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1.0,-0.4,0.10317460317460317,0.9726027397260275,0.0011576307158018828,-1,-1.0
3,-1,1,-2,-4,-2,-5,-1,-3,-3,0.0,5.08,6,1,1,1,0,0,0,1,0,0,0,0,0,1,-0.75,-0.04395604395604402,-0.2796052631578947,0.9729729729729729,-0.02665165165165173,2,0.75
3,2,-2,-2,-2,2,-2,0,-1,0,15.24,12.7,10,0,0,1,0,0,0,0,1,0,0,0,0,1,-0.5,-1.0,-0.08664898320070734,0.9305555555555556,0.019071310116086315,-1,-0.5
3,-1,1,0,0,-1,-3,0,0,0,7.62,-7.62,-2,1,1,1,0,0,0,1,0,0,0,0,0,1,0.0,0.5,-0.09010011123470522,1.0434782608695652,0.08212560386473433,0,0.0
5,-2,3,-3,-8,-4,-36,-2,-1,-1,5.08,-2.54,-4,0,1,1,0,0,0,1,0,0,0,0,0,1,0.16666666666666669,0.09411764705882353,-1.099163679808841,1.0133333333333332,0.03947368421052633,-6,-0.16666666666666663
3,-3,4,-2,-3,-3,-18,0,-1,0,10.16,0.0,3,0,1,0,0,1,0,1,0,0,0,1,0,0,0.09999999999999998,0.09890109890109888,-0.6347248576850095,1.0,0.05633802816901401,-2,-0.09999999999999998
3,0,0,-2,-3,0,-4,0,-2,0,2.54,7.62,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0.25,-0.3333333333333333,-0.14301075268817204,0.96,-0.026111111111111196,-1,-0.25
3,0,2,0,4,3,18,2,0,2,-2.54,-2.54,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0.12987012987012986,-0.09027777777777779,0.44971537001897544,1.0149253731343284,0.0,2,-0.1298701298701298
3,0,-2,2,3,2,16,0,2,-1,-2.54,-5.08,8,0,1,1,0,0,0,1,0,0,0,1,0,0,-0.16666666666666663,-0.25,0.40634920634920635,1.0298507462686566,0.01449275362318836,2,0.16666666666666669
3,0,-2,-2,-2,0,-8,0,1,-1,-7.62,5.08,-4,0,1,1,0,0,0,1,0,0,0,0,0,1,0.6666666666666667,0.0,-0.28985507246376807,0.9718309859154929,-0.07042253521126773,-2,-0.6666666666666666
3,1,-1,2,4,5,17,0,4,0,-7.62,-10.16,7,1,1,1,0,0,0,1,0,0,0,0,0,1,0.0,-0.5,0.4531531531531532,1.0547945205479454,0.010852161537093341,0,0.0
3,0,-1,-1,-1,0,-1,0,0,-1,7.62,15.24,-5,0,1,1,0,0,0,0,1,0,0,0,0,1,-1.0,-1.0,-0.03333333333333333,0.9166666666666666,-0.04292929292929304,0,0.0
3,0,1,1,1,-2,-3,0,0,0,0.0,-5.08,-2,0,1,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6666666666666667,-0.08342602892102338,1.0298507462686566,0.02941812675751676,1,0.0
3,-1,0,0,0,-1,-3,0,0,0,5.08,15.24,-3,0,1,0,1,0,0,0,1,0,0,0,0,1,0.0,0.0,-0.10344827586206896,0.9189189189189189,-0.05286168521462653,0,0.0
3,0,1,1,1,-1,-2,0,0,2,-5.08,-5.08,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1.0,0.5,-0.0625,1.0294117647058825,-0.00042016806722677824,-1,-1.0
5,0,0,3,4,-2,9,1,-3,1,5.08,-2.54,-7,0,1,1,0,0,0,0,0,1,0,1,0,0,-0.4166666666666667,0.1785714285714286,0.49830220713073015,1.0131578947368423,0.03844839371155162,6,0.41666666666666663
3,-1,5,0,0,-2,-5,0,-2,0,7.62,5.08,5,0,1,1,0,0,0,1,0,0,0,1,0,0,-0.4,0.2857142857142857,-0.2853598014888338,0.9729729729729729,0.015390390390390363,2,0.4
3,0,-2,-2,-2,0,-2,0,0,-2,-2.54,-2.54,-3,0,1,1,0,0,0,1,0,0,0,1,0,0,-0.6666666666666666,0.0,-0.057029177718832896,1.0149253731343284,-0.0006584723441614981,0,0.6666666666666667
3,-1,3,-2,-7,-6,-39,0,1,-2,7.62,2.54,-1,0,1,0,1,0,0,0,1,0,0,0,0,1,0.21428571428571425,0.023333333333333317,-1.1221033868092691,0.9864864864864864,0.027582376897445138,-6,-0.21428571428571436
3,1,-2,5,2,3,24,0,-6,2,5.08,2.54,2,0,1,1,0,0,0,0,1,0,0,0,0,1,-0.39285714285714285,-0.04824561403508765,0.6013071895424835,0.9859154929577465,0.01448692152917519,6,0.3928571428571429
3,0,-1,0,3,1,10,0,3,-1,0.0,5.08,-1,1,1,0,1,0,0,1,0,0,0,0,0,1,-0.19999999999999996,0.125,0.37830687830687826,0.9729729729729729,-0.027027027027027084,1,0.2
3,0,-1,0,0,0,1,0,-1,1,0.0,-12.7,-4,1,0,1,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.10789049919484706,1.0862068965517242,0.0862068965517242,0,0.0
3,1,-1,-1,-7,-3,-25,0,0,-4,5.08,5.08,2,1,1,0,0,1,0,1,0,0,0,0,0,1,-0.045454545454545414,-0.02083333333333337,-0.9261904761904761,0.9733333333333333,0.0007305936073057628,-3,0.04545454545454547
3,0,-1,-1,-3,-1,-6,0,-2,0,0.0,-2.54,-3,0,1,1,0,0,0,1,0,0,0,1,0,0,-0.09999999999999998,0.16666666666666663,-0.1777777777777778,1.0144927536231885,0.014078674948240333,-1,0.09999999999999998
3,-1,2,0,0,-3,-10,0,1,-1,12.7,2.54,-5,0,1,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6,-0.32608695652173914,0.9859154929577465,0.05694164989939643,0,0.0
3,0,-2,-2,-2,0,-3,0,-1,-1,-2.54,-7.62,3,1,1,1,0,0,0,1,0,0,0,0,0,1,-0.6666666666666666,0.0,-0.11751152073732718,1.0405405405405406,0.024921024921024992,0,0.6666666666666667
3,-1,2,-1,-1,1,-2,0,2,-1,0.0,0.0,-1,1,1,0,1,0,0,1,0,0,0,1,0,0,0.6666666666666667,-0.25,-0.05747126436781608,1.0,0.0,-2,-0.6666666666666666
3,0,0,0,-1,0,-2,0,0,0,-2.54,0.0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0.0,-0.16666666666666669,-0.06060606060606061,1.0,-0.01492537313432829,-1,0.0
3,0,-2,0,4,4,24,0,0,-2,-2.54,-12.7,7,0,1,1,0,0,0,1,0,0,0,0,0,1,-0.8571428571428572,-0.36363636363636365,0.6753812636165577,1.0735294117647058,0.05580177276389986,6,0.8571428571428571
3,-2,4,-3,1,-1,4,0,-3,1,-2.54,-2.54,-4,0,1,1,0,0,0,1,0,0,0,0,0,1,-0.2272727272727273,0.06666666666666665,0.2465277777777778,1.0138888888888888,-0.00019025875190259445,3,0.2272727272727273
