RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BetterRank,Finish,FinishRound,FinishRoundTime,TotalFightTimeSecs,label
Philip De Fries,Todd Duffee,315.0,-345.0,315.0,28.9855,2012-12-29,"Las Vegas, Nevada, USA", USA,False,Heavyweight,MALE,3,1,0,0,27.5,0.54,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,190.5,200.66,260,0,1,0,18.6667,0.477,0.3333,1.6667,0.31,1,1,6,0,0,0,1,0,1,0,2,Orthodox,195.58,208.28,250,26,27,-1,-1,0,-1,0,-2,0,1,-1,-5.08,-7.62,-1,8.8333,-0.3333,-1.6667,neither,KO/TKO,1.0,2:04,124.0,1
Leonard Garcia,Max Holloway,380.0,-430.0,380.0,23.2558,2012-12-29,"Las Vegas, Nevada, USA", USA,False,Featherweight,MALE,3,0,2,0,52.6667,0.337,0.0,0.0,0.0,2,1,6,0,0,0,1,1,0,0,2,Orthodox,180.34,175.26,155,3,0,0,32.8571,0.307,0.4286,0.2857,0.094,1,5,18,0,0,1,0,0,1,0,2,Orthodox,177.8,175.26,145,33,21,3,2,1,0,4,-12,0,1,-1,2.54,0.0,12,19.8095,-0.4286,-0.2857,neither,S-DEC,3.0,5:00,900.0,1
Chris Cariaso,John Moraga,130.0,-140.0,130.0,71.4286,2012-12-29,"Las Vegas, Nevada, USA", USA,False,Flyweight,MALE,3,0,1,0,34.0,0.53,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,167.64,167.64,125,0,3,0,54.0,0.524,0.2,1.2,0.282,3,1,15,0,0,1,3,0,0,0,4,Southpaw,160.02,160.02,125,31,28,0,-2,-2,-3,1,-14,0,1,0,7.62,7.62,3,-20.0,-0.2,-1.2,neither,SUB,3.0,1:11,671.0,1
Roy Nelson,Matt Mitrione,-185.0,170.0,54.0541,170.0,2012-12-15,"Las Vegas, Nevada, USA", USA,False,Heavyweight,MALE,5,1,0,0,34.6667,0.52,0.6667,0.0,0.0,5,1,13,0,0,0,1,4,0,0,5,Switch,190.5,200.66,265,0,1,0,19.7143,0.416,0.1429,0.4286,0.214,2,3,15,1,0,0,0,4,0,0,4,Orthodox,182.88,182.88,263,36,34,-1,-1,3,1,2,-2,-1,0,0,7.62,17.78,2,14.9524,0.5238,-0.4286,neither,KO/TKO,1.0,2:58,178.0,0
Pat Barry,Shane del Rosario,220.0,-240.0,220.0,41.6667,2012-12-15,"Las Vegas, Nevada, USA", USA,False,Heavyweight,MALE,3,1,0,0,32.0,0.65,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Southpaw,193.04,200.66,250,1,0,0,19.3333,0.536,0.1111,0.0,0.0,1,5,15,0,0,0,1,3,0,0,4,Orthodox,180.34,187.96,235,33,29,0,0,-1,-4,4,-13,0,-3,0,12.7,12.7,4,12.6667,-0.1111,0.0,neither,KO/TKO,2.0,0:26,326.0,0
Dustin Poirier,Jonathan Brookins,-270.0,248.0,37.037,248.0,2012-12-15,"Las Vegas, Nevada, USA", USA,False,Featherweight,MALE,3,1,0,0,25.0,0.463,0.25,1.5,0.445,1,2,9,1,0,0,1,1,0,0,2,Southpaw,182.88,185.42,145,1,0,0,47.6,0.456,0.8,1.4,0.376,4,1,13,0,0,0,2,0,2,0,4,Southpaw,175.26,182.88,155,23,27,0,0,-3,-2,-1,-4,1,1,-2,7.62,2.54,-4,-22.6,-0.55,0.1,neither,SUB,1.0,4:15,255.0,0
Mike Pyle,James Head,-130.0,120.0,76.9231,120.0,2012-12-15,"Las Vegas, Nevada, USA", USA,False,Welterweight,MALE,3,0,2,0,29.3333,0.483,0.6667,0.3333,0.333,2,1,7,0,0,1,0,0,1,0,2,Orthodox,185.42,185.42,170,0,2,0,20.1111,0.42,0.8889,1.2222,0.282,3,3,18,0,0,0,2,2,2,0,6,Orthodox,182.88,187.96,170,37,28,0,0,-1,-4,2,-11,0,-2,-1,2.54,-2.54,9,9.2222,-0.2222,-0.8889,neither,KO/TKO,1.0,1:55,115.0,0
Johnny Bedford,Marcos Vinicius,-265.0,245.0,37.7358,245.0,2012-12-15,"Las Vegas, Nevada, USA", USA,False,Bantamweight,MALE,3,0,1,0,28.0,0.48,0.0,0.0,0.0,1,0,3,0,0,0,0,1,0,0,1,Orthodox,175.26,177.8,125,0,1,0,82.0,0.58,0.0,4.0,0.66,1,0,3,0,0,0,0,1,0,0,1,Orthodox,177.8,180.34,135,29,33,0,0,0,0,0,0,0,0,0,-2.54,-2.54,-4,-54.0,0.0,-4.0,neither,KO/TKO,2.0,1:00,360.0,0
TJ Waldburger,Nick Catone,-105.0,-105.0,95.2381,95.2381,2012-12-15,"Las Vegas, Nevada, USA", USA,False,Welterweight,MALE,3,1,0,0,25.8333,0.498,0.5,2.8333,0.552,2,3,16,0,0,1,1,0,1,0,3,Southpaw,182.88,182.88,185,1,0,0,13.0,0.592,2.8,2.2,0.72,2,2,9,0,0,0,1,0,2,0,3,Orthodox,180.34,190.5,170,24,31,0,0,0,0,-1,7,0,0,-1,2.54,-7.62,-7,12.8333,-2.3,0.6333,neither,SUB,2.0,1:04,364.0,0
Reuben Duran,Hugo Viana,-125.0,115.0,80.0,115.0,2012-12-15,"Las Vegas, Nevada, USA", USA,False,Bantamweight,MALE,3,0,1,0,65.0,0.46,0.0,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,Orthodox,167.64,170.18,135,0,1,0,54.5,0.525,1.0,1.0,0.2,1,1,6,0,0,0,0,0,1,0,1,Orthodox,170.18,175.26,135,29,30,0,0,0,0,1,-3,0,0,-1,-2.54,-5.08,-1,10.5,-1.0,-1.0,neither,KO/TKO,1.0,4:05,245.0,1
Jared Papazian,Tim Elliott,175.0,-190.0,175.0,52.6316,2012-12-15,"Las Vegas, Nevada, USA", USA,False,Flyweight,MALE,3,1,0,0,79.0,0.35,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,170.18,167.64,135,2,0,0,37.5,0.405,0.0,0.0,0.0,0,2,4,0,0,0,0,0,0,0,0,Southpaw,172.72,170.18,135,24,25,1,0,0,0,1,-1,0,0,0,-2.54,-2.54,-1,41.5,0.0,0.0,neither,U-DEC,3.0,5:00,900.0,1
George Sotiropoulos,Ross Pearson,190.0,-210.0,190.0,47.619,2012-12-14,"Gold Coast, Queensland, Australia", Australia,False,Lightweight,MALE,5,1,0,0,52.75,0.41,0.0,1.0,0.375,3,3,21,1,0,0,4,0,0,1,5,Orthodox,172.72,175.26,155,2,0,0,21.8889,0.332,1.3333,1.6667,0.42,7,2,19,0,0,0,2,1,4,0,7,Orthodox,177.8,180.34,155,35,28,1,0,-4,-2,-1,2,1,0,-4,-5.08,-5.08,7,30.8611,-1.3333,-0.6667,neither,KO/TKO,3.0,0:41,641.0,1
Hector Lombard,Rousimar Palhares,-225.0,205.0,44.4444,205.0,2012-12-14,"Gold Coast, Queensland, Australia", Australia,False,Middleweight,MALE,3,1,0,0,12.5,0.327,1.4,1.4,0.432,3,3,18,0,0,0,2,0,5,0,7,Orthodox,172.72,180.34,170,1,0,0,26.0,0.33,0.0,2.0,0.5,0,1,3,0,0,0,0,0,0,0,0,Southpaw,175.26,180.34,185,34,32,0,0,3,7,-2,15,0,0,5,-2.54,0.0,2,-13.5,1.4,-0.6,neither,KO/TKO,1.0,3:38,218.0,0
Mike Pierce,Seth Baczynski,-400.0,355.0,25.0,355.0,2012-12-14,"Gold Coast, Queensland, Australia", Australia,False,Welterweight,MALE,3,0,4,0,24.0,0.352,1.0,0.4,0.08,4,1,11,0,0,1,0,1,2,0,4,Orthodox,190.5,187.96,170,0,2,0,36.5,0.48,0.3,2.4,0.355,3,3,28,0,0,1,3,2,1,0,7,Orthodox,172.72,177.8,170,32,31,0,2,1,-3,2,-17,0,-1,1,17.78,10.16,1,-12.5,0.7,-2.0,neither,U-DEC,3.0,5:00,900.0,0
Benson Henderson,Nate Diaz,-225.0,185.0,44.4444,185.0,2012-12-08,"Seattle, Washington, USA", USA,True,Lightweight,MALE,5,0,3,0,44.8125,0.434,1.25,0.875,0.343,5,5,36,1,0,1,1,1,8,0,11,Southpaw,182.88,193.04,170,0,5,0,62.4,0.414,1.2,2.6,0.606,5,0,19,2,0,1,4,0,0,0,5,Southpaw,175.26,177.8,170,29,27,0,-2,0,6,-5,17,-1,1,8,7.62,15.24,2,-17.5875,0.05,-1.725,neither,U-DEC,5.0,5:00,1500.0,0
Mauricio Rua,Alexander Gustafsson,240.0,-280.0,240.0,35.7143,2012-12-08,"Seattle, Washington, USA", USA,False,Light Heavyweight,MALE,3,0,5,0,23.0,0.329,0.7143,0.5714,0.309,5,1,11,0,0,0,1,3,2,0,6,Orthodox,195.58,200.66,205,0,1,0,44.3333,0.53,0.3333,1.6667,0.22,2,4,26,3,0,0,0,5,0,0,5,Orthodox,185.42,193.04,205,31,25,0,4,3,1,3,-15,-3,-2,2,10.16,7.62,6,-21.3333,0.381,-1.0952,neither,U-DEC,3.0,5:00,900.0,1
BJ Penn,Rory MacDonald,275.0,-335.0,275.0,29.8507,2012-12-08,"Seattle, Washington, USA", USA,False,Welterweight,MALE,3,0,3,0,30.0,0.514,0.8,2.8,0.546,3,1,10,0,0,0,1,2,1,0,4,Orthodox,182.88,193.04,170,2,0,0,39.7143,0.581,0.5714,1.2381,0.391,3,9,62,11,0,0,1,6,4,1,12,Orthodox,175.26,177.8,155,33,23,2,3,0,-8,8,-52,-11,-5,-3,7.62,15.24,10,-9.7143,0.2286,1.5619,neither,U-DEC,3.0,5:00,900.0,1
Mike Swick,Matt Brown,-140.0,120.0,71.4286,120.0,2012-12-08,"Seattle, Washington, USA", USA,False,Welterweight,MALE,3,0,3,0,30.8462,0.587,1.1538,1.0769,0.42,3,5,29,0,0,0,2,5,1,0,8,Orthodox,182.88,190.5,170,0,1,0,19.9231,0.45,0.3846,0.6154,0.34,5,3,26,0,1,0,2,5,2,0,10,Orthodox,185.42,195.58,170,33,31,0,2,-2,-2,-2,3,0,0,-1,-2.54,-5.08,2,10.9231,0.7692,0.4615,neither,KO/TKO,2.0,2:31,451.0,1
Yves Edwards,Jeremy Stephens,200.0,-240.0,200.0,41.6667,2012-12-08,"Seattle, Washington, USA", USA,False,Lightweight,MALE,3,2,0,0,32.7143,0.451,0.5714,1.2857,0.373,2,7,37,0,0,1,2,3,0,1,7,Orthodox,172.72,180.34,145,1,0,0,26.4,0.487,0.6667,0.2667,0.2,6,6,34,0,0,1,2,4,2,0,9,Southpaw,175.26,185.42,155,36,26,-1,0,-4,-2,-1,3,0,0,-2,-2.54,-5.08,10,6.3143,-0.0952,1.019,neither,KO/TKO,1.0,1:55,115.0,0
Raphael Assuncao,Mike Easton,250.0,-300.0,250.0,33.3333,2012-12-08,"Seattle, Washington, USA", USA,False,Bantamweight,MALE,3,0,3,0,54.0,0.393,0.0,0.6667,0.277,3,0,8,0,1,0,1,1,0,0,3,Southpaw,167.64,177.8,135,0,2,0,33.6667,0.54,0.0,1.0,0.123,2,1,6,0,0,0,1,1,0,0,2,Orthodox,165.1,167.64,135,30,28,0,1,1,1,1,2,0,0,0,2.54,10.16,2,20.3333,0.0,-0.3333,neither,U-DEC,3.0,5:00,900.0,0
Ramsey Nijem,Joe Proctor,-230.0,190.0,43.4783,190.0,2012-12-08,"Seattle, Washington, USA", USA,False,Lightweight,MALE,3,0,1,0,10.0,0.35,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,177.8,182.88,155,0,2,0,25.3333,0.433,1.3333,3.0,0.3,2,1,5,1,0,0,1,1,0,0,2,Orthodox,180.34,190.5,155,24,27,0,-1,-1,-1,1,-4,-1,0,0,-2.54,-7.62,-3,-15.3333,-1.3333,-3.0,neither,U-DEC,3.0,5:00,900.0,0
Daron Cruickshank,Henry Martinez,-170.0,150.0,58.8235,150.0,2012-12-08,"Seattle, Washington, USA", USA,False,Lightweight,MALE,3,0,1,0,42.5,0.255,0.0,0.0,0.0,1,1,6,0,0,1,0,0,0,0,1,Southpaw,170.18,172.72,155,0,1,0,17.0,0.56,0.0,4.0,0.8,1,0,3,0,0,0,1,0,0,0,1,Switch,172.72,182.88,155,27,29,0,0,0,0,-1,3,0,0,0,-2.54,-10.16,-2,25.5,0.0,-4.0,neither,KO/TKO,2.0,2:57,477.0,0
Dennis Siver,Nam Phan,-290.0,245.0,34.4828,245.0,2012-12-08,"Seattle, Washington, USA", USA,False,Featherweight,MALE,3,0,1,0,91.8,0.398,0.2,0.2,0.2,1,3,15,0,0,1,1,0,0,0,2,Orthodox,167.64,177.8,135,0,1,0,33.6429,0.334,0.2143,0.3571,0.207,4,5,30,0,0,0,4,3,2,0,9,Orthodox,167.64,177.8,145,33,29,0,0,-3,-7,2,-15,0,-3,-2,0.0,0.0,4,58.1571,-0.0143,-0.1571,neither,U-DEC,3.0,5:00,900.0,0
Scott Jorgensen,John Albert,-280.0,240.0,35.7143,240.0,2012-12-08,"Seattle, Washington, USA", USA,False,Bantamweight,MALE,3,2,0,0,19.3333,0.473,1.6667,0.0,0.0,1,2,3,0,0,0,0,1,0,0,1,Orthodox,172.72,172.72,135,2,0,0,44.5,0.403,0.0,1.5,0.5,2,2,9,0,0,0,1,1,0,0,2,Orthodox,165.1,167.64,135,30,26,0,0,-1,-1,0,-6,0,0,0,7.62,5.08,4,-25.1667,1.6667,-1.5,neither,SUB,1.0,4:59,299.0,0
Georges St-Pierre,Carlos Condit,-300.0,270.0,33.3333,270.0,2012-11-17,"Montreal, Quebec, Canada", Canada,True,Welterweight,MALE,5,0,5,0,53.1667,0.415,1.0,0.6667,0.208,5,1,16,1,0,1,1,3,0,0,5,Orthodox,187.96,190.5,170,0,9,0,54.2778,0.564,1.2222,3.7778,0.743,9,2,53,11,0,1,8,5,2,0,16,Orthodox,180.34,193.04,185,31,28,0,-4,-4,-11,1,-37,-10,-2,-2,7.62,-2.54,3,-1.1111,-0.2222,-3.1111,neither,U-DEC,5.0,5:00,1500.0,0
Johny Hendricks,Martin Kampmann,-167.0,157.0,59.8802,157.0,2012-11-17,"Montreal, Quebec, Canada", Canada,False,Welterweight,MALE,3,0,3,0,30.6,0.436,1.4,0.8667,0.32,4,4,31,0,0,2,2,2,5,0,11,Orthodox,182.88,182.88,170,0,4,0,31.0,0.614,0.5556,2.6667,0.272,4,1,20,0,1,2,1,4,0,0,8,Southpaw,175.26,175.26,185,29,30,0,-1,0,3,-3,11,0,-2,5,7.62,7.62,-1,-0.4,0.8444,-1.8,neither,KO/TKO,1.0,0:46,46.0,0
Francis Carmont,Tom Lawlor,-245.0,225.0,40.8163,225.0,2012-11-17,"Montreal, Quebec, Canada", Canada,False,Middleweight,MALE,3,0,1,0,23.4286,0.409,0.8571,1.8571,0.193,2,3,14,0,0,0,2,1,1,0,4,Southpaw,182.88,187.96,205,0,3,0,27.6667,0.703,1.0,1.6667,0.5,3,0,7,0,0,0,1,0,2,0,3,Orthodox,190.5,198.12,205,31,29,0,-2,-1,1,-3,7,0,1,-1,-7.62,-10.16,2,-4.2381,-0.1429,0.1905,neither,S-DEC,3.0,5:00,900.0,0
Mark Bocek,Rafael Dos Anjos,190.0,-210.0,190.0,47.619,2012-11-17,"Montreal, Quebec, Canada", Canada,False,Lightweight,MALE,3,0,2,0,25.4,0.374,0.9,2.0,0.27,3,4,25,0,0,0,3,1,2,0,6,Southpaw,172.72,177.8,170,0,2,0,23.4545,0.417,1.0909,3.0,0.569,3,4,25,0,0,0,3,0,4,0,7,Orthodox,172.72,190.5,155,31,28,0,0,0,-1,0,0,0,1,-2,0.0,-12.7,3,1.9455,-0.1909,-1.0,neither,U-DEC,3.0,5:00,900.0,1
Mark Hominick,Pablo Garza,-280.0,255.0,35.7143,255.0,2012-11-17,"Montreal, Quebec, Canada", Canada,False,Featherweight,MALE,3,2,0,0,17.5,0.455,0.5,0.0,0.0,2,2,7,0,0,0,0,1,1,0,2,Orthodox,185.42,185.42,145,3,0,0,42.5,0.352,0.1667,0.1667,0.083,3,3,15,1,0,0,1,1,1,0,3,Orthodox,172.72,172.72,145,30,29,1,0,-1,-1,1,-8,-1,0,0,12.7,12.7,1,-25.0,0.3333,-0.1667,neither,U-DEC,3.0,5:00,900.0,1
Patrick Cote,Alessio Sakara,-210.0,190.0,47.619,190.0,2012-11-17,"Montreal, Quebec, Canada", Canada,False,Middleweight,MALE,3,2,0,0,19.6154,0.452,0.0,0.7692,0.115,3,7,20,0,0,1,1,4,0,0,6,Orthodox,182.88,182.88,185,4,0,0,23.0833,0.424,0.1667,0.3333,0.153,4,8,29,2,0,1,1,2,0,0,4,Orthodox,180.34,180.34,170,32,31,2,0,-1,2,1,-9,-2,2,0,2.54,2.54,1,-3.4679,-0.1667,0.4359,neither,DQ,1.0,1:26,86.0,0
Cyrille Diabate,Chad Griggs,-125.0,115.0,80.0,115.0,2012-11-17,"Montreal, Quebec, Canada", Canada,False,Light Heavyweight,MALE,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,205,0,1,0,47.8,0.688,0.0,0.6,0.4,1,2,11,0,1,0,1,1,0,0,3,Southpaw,198.12,205.74,205,39,34,-1,-1,-1,-3,1,-10,0,-1,0,-12.7,-20.32,5,-47.8,0.0,-0.6,neither,SUB,1.0,2:24,144.0,0
Sam Stout,John Makdessi,-200.0,185.0,50.0,185.0,2012-11-17,"Montreal, Quebec, Canada", Canada,False,Lightweight,MALE,3,2,0,0,40.75,0.355,0.0,0.0,0.0,2,2,10,0,0,0,1,1,0,0,2,Orthodox,172.72,172.72,155,0,1,0,56.0769,0.273,0.0769,0.4615,0.154,2,6,35,0,0,2,4,1,0,0,7,Orthodox,175.26,177.8,155,28,27,-2,-1,0,-5,4,-25,0,0,0,-2.54,-5.08,1,-15.3269,-0.0769,-0.4615,neither,U-DEC,3.0,5:00,900.0,1
Antonio Carvalho,Rodrigo Damm,-205.0,188.0,48.7805,188.0,2012-11-17,"Montreal, Quebec, Canada", Canada,False,Featherweight,MALE,3,0,1,0,11.0,0.52,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,1,Orthodox,170.18,180.34,155,0,1,0,23.5,0.335,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,175.26,172.72,145,33,32,0,0,0,0,1,-3,0,-1,1,-5.08,7.62,1,-12.5,1.0,0.0,neither,S-DEC,3.0,5:00,900.0,0
Matthew Riddle,John Maguire,-220.0,200.0,45.4545,200.0,2012-11-17,"Montreal, Quebec, Canada", Canada,False,Welterweight,MALE,3,1,0,0,15.3333,0.623,1.0,3.3333,0.663,2,1,8,0,0,0,1,0,1,0,2,Southpaw,175.26,175.26,155,1,0,0,43.5,0.511,0.6,3.3,0.563,3,4,29,0,0,1,3,1,0,0,6,Southpaw,185.42,187.96,170,26,29,0,0,-1,-4,3,-21,0,-1,1,-10.16,-12.7,-3,-28.1667,0.4,0.0333,neither,U-DEC,3.0,5:00,900.0,0
Steven Siler,Darren Elkins,100.0,-110.0,100.0,90.9091,2012-11-17,"Montreal, Quebec, Canada", Canada,False,Featherweight,MALE,3,0,3,0,28.2,0.244,0.8,1.0,0.414,3,1,11,0,0,0,3,1,0,0,4,Orthodox,177.8,180.34,145,0,3,0,55.0,0.55,1.3333,0.6667,0.163,3,0,7,0,0,0,2,0,1,0,3,Orthodox,180.34,177.8,145,25,28,0,0,0,1,-1,4,0,1,-1,-2.54,2.54,-3,-26.8,-0.5333,0.3333,neither,U-DEC,3.0,5:00,900.0,1
Rich Franklin,Cung Le,-450.0,400.0,22.2222,400.0,2012-11-10,"Macau, China", China,False,Middleweight,MALE,5,0,1,0,43.5,0.435,0.0,1.0,0.5,1,1,5,0,0,0,1,0,0,0,1,Southpaw,175.26,175.26,185,0,1,0,44.4211,0.454,0.1053,0.7368,0.272,7,5,45,5,0,0,4,8,1,1,14,Southpaw,185.42,190.5,185,38,40,0,0,-6,-13,4,-40,-5,-9,-1,-10.16,-15.24,-2,-0.9211,-0.1053,0.2632,neither,KO/TKO,1.0,2:17,137.0,1
Dong Hyun Kim,Paulo Thiago,-320.0,290.0,31.25,290.0,2012-11-10,"Macau, China", China,False,Welterweight,MALE,3,1,0,0,15.375,0.335,1.5,1.25,0.243,2,4,19,0,0,0,2,1,1,0,4,Orthodox,180.34,185.42,170,1,0,0,27.5556,0.558,0.4444,2.6667,0.557,3,3,23,0,0,1,4,1,0,0,6,Southpaw,187.96,193.04,170,30,31,0,0,-1,-2,-1,-4,0,0,1,-7.62,-7.62,-1,-12.1806,1.0556,-1.4167,neither,U-DEC,3.0,5:00,900.0,0
Takanori Gomi,Mac Danzig,170.0,-185.0,170.0,54.0541,2012-11-10,"Macau, China", China,False,Lightweight,MALE,3,0,1,0,35.3,0.496,0.5,1.0,0.386,2,5,23,1,0,0,2,1,2,0,5,Orthodox,172.72,177.8,155,0,1,0,18.2,0.256,0.0,0.0,0.0,1,3,9,0,0,0,0,2,0,0,2,Southpaw,170.18,177.8,155,34,32,0,0,1,3,-2,14,1,-1,2,2.54,0.0,2,17.1,0.5,1.0,neither,S-DEC,3.0,5:00,900.0,0
Takeya Mizugaki,Jeff Hougland,-440.0,390.0,22.7273,390.0,2012-11-10,"Macau, China", China,False,Bantamweight,MALE,3,1,0,0,39.5,0.43,2.0,0.5,0.1,1,1,6,0,0,0,1,0,0,0,1,Orthodox,170.18,172.72,135,1,0,0,38.75,0.365,0.0,1.75,0.625,1,2,11,0,0,1,0,1,0,0,2,Orthodox,170.18,172.72,135,28,34,0,0,0,-1,1,-5,0,-1,0,0.0,0.0,-6,0.75,2.0,-1.25,neither,U-DEC,3.0,5:00,900.0,0
Yasuhiro Urushitani,John Lineker,195.0,-215.0,195.0,46.5116,2012-11-10,"Macau, China", China,False,Flyweight,MALE,3,1,0,0,96.0,0.45,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,160.02,170.18,135,1,0,0,8.0,0.44,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Southpaw,165.1,170.0,125,36,22,0,0,0,0,0,0,0,0,0,-5.08,0.18,14,88.0,0.0,0.0,neither,U-DEC,3.0,5:00,900.0,1
Riki Fukuda,Tom DeBlass,-260.0,240.0,38.4615,240.0,2012-11-10,"Macau, China", China,False,Middleweight,MALE,3,1,0,0,1.0,0.16,1.0,2.0,0.5,0,1,3,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,185,1,0,0,65.3333,0.433,0.0,3.0,0.387,1,2,9,0,0,0,1,0,0,0,1,Southpaw,182.88,185.42,185,31,30,0,0,-1,-1,1,-6,0,0,0,0.0,5.08,1,-64.3333,1.0,-1.0,neither,U-DEC,3.0,5:00,900.0,0
Anderson Silva,Stephan Bonnar,-1000.0,800.0,10.0,800.0,2012-10-13,"Rio de Janeiro, Brazil", Brazil,False,Light Heavyweight,MALE,3,0,3,0,31.9286,0.414,0.9286,1.2143,0.243,3,6,36,1,0,0,4,2,2,0,8,Orthodox,193.04,198.12,205,0,15,0,30.4,0.703,0.4,0.2,0.2,15,0,34,11,0,0,2,10,3,0,15,Southpaw,187.96,195.58,185,37,35,0,-12,-12,-7,-6,2,-10,-8,-1,5.08,2.54,2,1.5286,0.5286,1.0143,neither,KO/TKO,1.0,4:40,280.0,0
Glover Teixeira,Fabio Maldonado,-475.0,420.0,21.0526,420.0,2012-10-13,"Rio de Janeiro, Brazil", Brazil,False,Light Heavyweight,MALE,3,2,0,0,88.3333,0.657,1.3333,0.6667,0.333,1,2,9,0,0,0,0,1,0,0,1,Orthodox,185.42,190.5,205,0,1,0,15.0,0.5,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,1,Orthodox,187.96,193.04,205,32,32,-2,-1,0,0,-2,8,0,1,-1,-2.54,-2.54,0,73.3333,0.3333,0.6667,neither,KO/TKO,2.0,5:00,600.0,0
Jon Fitch,Erick Silva,177.0,-192.0,177.0,52.0833,2012-10-13,"Rio de Janeiro, Brazil", Brazil,False,Welterweight,MALE,3,0,1,0,7.3333,0.65,0.6667,0.0,0.0,1,1,3,0,0,0,0,1,1,0,2,Orthodox,182.88,187.96,170,2,0,0,33.875,0.488,0.6875,3.25,0.511,8,3,44,1,0,1,8,1,3,0,13,Orthodox,182.88,193.04,170,34,28,2,1,-7,-11,2,-41,-1,0,-2,0.0,-5.08,6,-26.5417,-0.0208,-3.25,neither,U-DEC,3.0,5:00,900.0,0
Phil Davis,Wagner Prado,-355.0,320.0,28.169,320.0,2012-10-13,"Rio de Janeiro, Brazil", Brazil,False,Light Heavyweight,MALE,3,1,0,0,2.0,0.12,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Southpaw,182.88,187.96,205,2,0,0,35.8571,0.471,0.5714,2.1429,0.469,5,2,18,0,0,0,3,0,2,0,5,Orthodox,187.96,200.66,205,28,25,1,0,-5,-5,1,-17,0,0,-2,-5.08,-12.7,3,-33.8571,-0.5714,-2.1429,neither,SUB,2.0,4:29,569.0,0
Demian Maia,Rick Story,-115.0,105.0,86.9565,105.0,2012-10-13,"Rio de Janeiro, Brazil", Brazil,False,Welterweight,MALE,3,0,1,0,43.8,0.39,1.3,2.9,0.605,6,3,28,0,0,2,3,1,1,0,7,Southpaw,175.26,180.34,170,0,1,0,19.7143,0.488,0.9286,1.8571,0.337,5,4,33,1,0,0,4,1,5,0,10,Southpaw,185.42,182.88,170,34,28,0,0,1,-3,1,-5,-1,0,-4,-10.16,-2.54,6,24.0857,0.3714,1.0429,neither,SUB,1.0,2:30,150.0,0
Rony Jason,Sam Sicilia,-210.0,190.0,47.619,190.0,2012-10-13,"Rio de Janeiro, Brazil", Brazil,False,Featherweight,MALE,3,0,1,0,33.0,0.35,0.0,0.0,0.0,1,0,2,0,0,0,0,1,0,0,1,Orthodox,172.72,170.18,145,0,1,0,36.0,0.47,0.0,0.0,0.0,1,0,3,1,0,0,1,0,0,0,1,Orthodox,170.18,177.8,145,28,26,0,0,0,0,0,-1,-1,1,0,2.54,-7.62,2,-3.0,0.0,0.0,neither,KO/TKO,2.0,4:16,556.0,0
